trade_dt,underlying,change,change_percent,close,high,last_updated,low,open,previous_close,volume,vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,ticker,spot_price,bid_yf,roi,roi_annualized,delta,gamma,theta,vega,implied_volatility,open_interest,underlying_ticker
1/14/26,MELI,-8.62,-60.9,5.53,5.53,2026-01-15T05:00:00+00:00,4.75,4.75,14.15,6,5.01,put,american,2026-01-23,100,1980,O:MELI260123P01980000,2101.949951171875,4.2,0.011506849315068493,0.4666666666666667,-0.10638727122310906,0.0016460195041408375,-1.237480230090844,0.5333666464790151,0.3541890587368726,18,MELI
1/14/26,KLAC,-25.2,-61.9,15.5,15.5,2026-01-15T05:00:00+00:00,15.5,15.5,40.7,1,15.5,put,american,2026-02-20,100,1280,O:KLAC260220P01280000,1434.5,11.7,0.03205479452054794,0.3162162162162162,-0.09791535825287441,0.0006593148873422855,-0.624927546851802,0.7661461980604869,0.537656960022527,6,KLAC
1/14/26,MU,-1.85,-57.1,1.39,1.92,2026-01-15T05:00:00+00:00,1.25,1.44,3.24,2888,1.4581,put,american,2026-01-23,100,310,O:MU260123P00310000,333.3500061035156,1.45,0.003972602739726027,0.1611111111111111,-0.09933848609843865,0.006140450357853587,-0.3006244501094446,0.0856706765560777,0.55337307033163,871,MU
1/14/26,ISRG,0,0,3.1,5.94,2026-01-14T21:00:00+00:00,3.1,3.5,3.1,28,5.065,put,american,2026-01-23,100,485,O:ISRG260123P00485000,546.760009765625,1.4,0.0038356164383561643,0.15555555555555556,-0.09761440812503717,0.0038619100341562556,-0.46495390805386655,0.134030891405373,0.554234586698894,32,ISRG
1/14/26,COST,-1.21,-47.5,1.34,2,2026-01-15T05:00:00+00:00,1.22,2,2.55,86,1.5884,put,american,2026-01-23,100,920,O:COST260123P00920000,950.97998046875,1.38,0.003780821917808219,0.15333333333333332,-0.09287910191393657,0.0058719259118723026,-0.27905121445359554,0.2417550840578809,0.1975335738703036,155,COST
1/14/26,META,-1.55,-55.8,1.23,2.4,2026-01-15T05:00:00+00:00,1.14,2.34,2.78,466,1.6789,put,american,2026-01-23,100,592.5,O:META260123P00592500,615.52001953125,1.28,0.0035068493150684932,0.14222222222222222,-0.09581581779766618,0.00691587518203791,-0.249634424711762,0.15763937399347488,0.2634052220447977,393,META
1/14/26,TSLA,-0.77,-38.5,1.23,1.5,2026-01-15T05:00:00+00:00,1.09,1.4,2,291,1.2792,put,american,2026-01-23,100,412.5,O:TSLA260123P00412500,439.20001220703125,1.2,0.003287671232876712,0.13333333333333333,-0.10039743747212466,0.007043248779268086,-0.2646288880750323,0.11151168896174948,0.3774644979581693,351,TSLA
1/14/26,CRWD,-1.03,-43.8,1.32,1.46,2026-01-15T05:00:00+00:00,1.12,1.23,2.35,36,1.3625,put,american,2026-01-23,100,435,O:CRWD260123P00435000,460.70001220703125,1.17,0.0032054794520547944,0.13,-0.09875774276623808,0.00679065437762025,-0.26747266448326373,0.11743761103773614,0.367067723951109,224,CRWD
1/14/26,INTU,0,0,2.78,2.78,2026-01-14T21:00:00+00:00,1.8,1.81,2.78,5,2.002,put,american,2026-01-23,100,525,O:INTU260123P00525000,566.5999755859375,1.15,0.003150684931506849,0.12777777777777777,-0.10862182736730093,0.0062747030059545,-0.3365132805256666,0.14214375655425684,0.35596623815982426,5,INTU
1/14/26,AVGO,-1.42,-57.5,1.05,1.45,2026-01-15T05:00:00+00:00,0.97,1.1,2.47,626,1.1253,put,american,2026-01-23,100,320,O:AVGO260123P00320000,339.8900146484375,1.0,0.0027397260273972603,0.1111111111111111,-0.09459284720549856,0.007468985476764339,-0.22875846504559363,0.08746857646586438,0.4327388305617738,6218,AVGO
