trade_dt,underlying,change,change_percent,close,high,last_updated,low,open,previous_close,volume,vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,ticker,spot_price,bid_yf,roi,roi_annualized,delta,gamma,theta,vega,implied_volatility,open_interest,underlying_ticker
1/15/26,AZN,0.2,46.512,0.63,0.64,2026-01-15T05:00:00+00:00,0.49,0.51,0.43,18,0.5856,put,american,2026-02-20,100,85,O:AZN260220P00085000,94.08999633789062,0.43,0.001178082191780822,0.011944444444444445,-0.13812299266777534,0.023339246245138823,-0.02864458861908598,0.07284422938755325,0.32198562963823185,79,AZN
1/15/26,PCAR,-0.11,-10.8,0.91,0.91,2026-01-15T05:00:00+00:00,0.91,0.91,1.02,4,0.91,put,american,2026-02-20,100,105,O:PCAR260220P00105000,121.87000274658203,0.4,0.0010958904109589042,0.011111111111111113,-0.1499375241981299,0.012246055662300435,-0.06135222465874928,0.09307833327021064,0.4989842410741697,23,PCAR
1/15/26,MNST,-0.1,-18.5,0.44,0.44,2026-01-15T05:00:00+00:00,0.44,0.44,0.54,4,0.44,put,american,2026-02-20,100,72.5,O:MNST260220P00072500,77.69999694824219,0.4,0.0010958904109589042,0.011111111111111113,-0.15655994810101212,0.041613016047614394,-0.018259202067219534,0.059703580566709415,0.23809774070793688,75,MNST
1/15/26,GFS,-0.1,-16.7,0.5,0.56,2026-01-15T05:00:00+00:00,0.48,0.56,0.6,3,0.5133,put,american,2026-02-20,100,35,O:GFS260220P00035000,41.720001220703125,0.35,0.0009589041095890411,0.009722222222222222,-0.1297616415862637,0.02896774060083141,-0.021190702120935705,0.031063609071430496,0.559590359066111,258,GFS
1/15/26,TRI,,,,,,,,,,,put,american,2026-02-20,100,110,O:TRI260220P00110000,124.54000091552734,0.35,0.0009589041095890411,0.009722222222222222,-0.1148483398543099,0.01412665819717512,-0.03756859388839512,0.06388264061375394,0.35695017407718,0,TRI
1/15/26,CCEP,0,0,0.6,0.6,2026-01-12T21:00:00+00:00,0.56,0.56,0.6,6,0.5933,put,american,2026-02-20,100,80,O:CCEP260220P00080000,88.83999633789062,0.3,0.000821917808219178,0.008333333333333333,-0.1982379104331803,0.023147879580585264,-0.04740354765188324,0.06946588843491829,0.4386321572460728,32,CCEP
1/15/26,CMCSA,-0.01,-9.09,0.1,0.1,2026-01-15T05:00:00+00:00,0.1,0.1,0.11,20,0.1,put,american,2026-01-23,100,27,O:CMCSA260123P00027000,28.299999237060547,0.05,0.00013698630136986303,0.006250000000000001,-0.12686908196255173,0.17128125684908793,-0.016252889664054224,0.007384539926661842,0.29181895597338076,51,CMCSA
1/15/26,KHC,-0.01,-12.5,0.07,0.1,2026-01-15T05:00:00+00:00,0.06,0.08,0.08,116,0.08147,put,american,2026-01-23,100,23.5,O:KHC260123P00023500,24.264999389648438,0.05,0.00013698630136986303,0.006250000000000001,-0.14778085407083563,0.30462625783118524,-0.011235902623100234,0.009656811761731004,0.21096218951957335,690,KHC
1/15/26,EXC,-0.06,-20,0.24,0.3,2026-01-15T05:00:00+00:00,0.24,0.3,0.3,8,0.2725,put,american,2026-02-20,100,41,O:EXC260220P00041000,44.06999969482422,0.2,0.0005479452054794521,0.005555555555555557,-0.14633243034320886,0.07303500130186544,-0.0100873172632644,0.03527989001911087,0.22809445051916358,45,EXC
1/15/26,XEL,0,0,0.33,0.33,2026-01-14T21:00:00+00:00,0.33,0.33,0.33,1,0.33,put,american,2026-02-20,100,65,O:XEL260220P00065000,75.48999786376953,0.15,0.000410958904109589,0.004166666666666667,-0.14501446574157012,0.0196255437503015,-0.03697046410948627,0.05807762199018333,0.490888054099407,104,XEL
1/15/26,KDP,0,0,0.16,0.16,2026-01-14T21:00:00+00:00,0.16,0.16,0.16,1,0.16,put,american,2026-02-20,100,26,O:KDP260220P00026000,27.905000686645508,0.1,0.00027397260273972606,0.0027777777777777783,-0.16546227421982992,0.11565062498238766,-0.007498155469344423,0.022488655345203484,0.24547225958423827,961,KDP
1/15/26,FAST,0,0,0.08,0.08,2026-01-12T21:00:00+00:00,0.08,0.08,0.08,1,0.08,put,american,2026-02-20,100,32.5,O:FAST260220P00032500,43.39500045776367,0.1,0.00027397260273972606,0.0027777777777777783,-0.13991178935469475,0.016333098930322875,-0.04214945615776624,0.030759527435653484,1.0011858938310259,3,FAST
1/15/26,VRSK,0,0,3.2,3.2,2026-01-06T21:00:00+00:00,3.2,3.2,3.2,1,3.2,put,american,2026-02-20,100,210,O:VRSK260220P00210000,222.74000549316406,0.1,0.00027397260273972606,0.0027777777777777783,-0.18789428565219968,0.015128950527765462,-0.0651869692155712,0.17545997067454386,0.25670465717045177,1,VRSK
1/15/26,ABNB,-0.16,-59.3,0.11,0.11,2026-01-15T05:00:00+00:00,0.11,0.11,0.27,4,0.11,put,american,2026-01-23,100,122,O:ABNB260123P00122000,132.64999389648438,0.0,0.0,0.0,-0.15363311568092006,0.021114008697811566,-0.1627750432582889,0.04983901287775136,0.5698203570269718,214,ABNB
1/15/26,BIIB,,,,,,,,,,,put,american,2026-01-23,100,155,O:BIIB260123P00155000,168.5,0.0,0.0,0.0,-0.14750592424413905,0.016569159215637928,-0.19695502045708418,0.06329870609625106,0.5568257928147025,0,BIIB
1/15/26,TEAM,-0.04,-8,0.46,0.46,2026-01-15T05:00:00+00:00,0.25,0.25,0.5,11,0.4409,put,american,2026-01-23,100,120,O:TEAM260123P00120000,128.27000427246094,0.0,0.0,0.0,-0.14432252409816398,0.028345405898370122,-0.11175347482542104,0.04840420195894481,0.42285664293527836,43,TEAM
1/15/26,EA,0,0,0.05,0.05,2026-01-13T21:00:00+00:00,0.05,0.05,0.05,20,0.05,put,american,2026-01-30,100,197.5,O:EA260130P00197500,204.25999450683594,0.0,0.0,0.0,-0.17764418974224108,0.03354140247034689,-0.06471700833692484,0.10506097234893062,0.1884283127928876,20,EA
1/15/26,VRTX,0.1,12.5,0.9,0.9,2026-01-15T05:00:00+00:00,0.83,0.83,0.8,6,0.865,put,american,2026-01-23,100,420,O:VRTX260123P00420000,439.0450134277344,0.0,0.0,0.0,-0.0998069715162483,0.012707155948791007,-0.14567273837207284,0.10952467047840467,0.21254089340208726,62,VRTX
1/15/26,MDLZ,0,0,0.44,0.44,2026-01-05T21:00:00+00:00,0.44,0.44,0.44,1,0.44,put,american,2026-01-23,100,48,O:MDLZ260123P00048000,57.33000183105469,0.0,0.0,0.0,-0.13391684586445723,0.021548068016442,-0.13469373704184948,0.02068709584900512,1.1773230739977496,1,MDLZ
1/15/26,WBD,0,0,0.01,0.01,2026-01-06T21:00:00+00:00,0.01,0.01,0.01,320,0.01,put,american,2026-01-23,100,21,O:WBD260123P00021000,28.450000762939453,0.0,0.0,0.0,-0.15810257314221254,0.022710161138264465,-0.16074863691253347,0.0094951979711767,2.523702580074719,330,WBD
