trade_dt,ticker,spot,strike,moneyness,premium,iv,delta,roi,roi_annualized,option_ticker,expiry
2026-01-14,AAPL,259.9599914550781,220.0,0.8463,0.01,0.750003,-0.001187,0.0045,0.8295,AAPL260116P00220000,2026-01-16
2026-01-14,AAPL,259.9599914550781,225.0,0.8655,0.01,0.703128,-0.002507,0.0044,0.8111,AAPL260116P00225000,2026-01-16
2026-01-14,AAPL,259.9599914550781,230.0,0.8848,0.01,0.625004,-0.003728,0.0043,0.7935,AAPL260116P00230000,2026-01-16
2026-01-14,AAPL,259.9599914550781,232.5,0.8944,0.01,0.578129,-0.004189,0.0043,0.7849,AAPL260116P00232500,2026-01-16
2026-01-14,AAPL,259.9599914550781,235.0,0.9040,0.01,0.531255,-0.004750,0.0043,0.7766,AAPL260116P00235000,2026-01-16
2026-01-14,AAPL,259.9599914550781,237.5,0.9136,0.01,0.492193,-0.006108,0.0042,0.7684,AAPL260116P00237500,2026-01-16
2026-01-14,AAPL,259.9599914550781,240.0,0.9232,0.02,0.464849,-0.009466,0.0083,1.5208,AAPL260116P00240000,2026-01-16
2026-01-14,AAPL,259.9599914550781,242.5,0.9328,0.02,0.429693,-0.013540,0.0082,1.5052,AAPL260116P00242500,2026-01-16
2026-01-14,AAPL,259.9599914550781,245.0,0.9425,0.04,0.386725,-0.018116,0.0163,2.9796,AAPL260116P00245000,2026-01-16
2026-01-14,AAPL,259.9599914550781,247.5,0.9521,0.07,0.355475,-0.029367,0.0283,5.1616,AAPL260116P00247500,2026-01-16
2026-01-14,AAPL,259.9599914550781,250.0,0.9617,0.11,0.322272,-0.048352,0.0440,8.0300,AAPL260116P00250000,2026-01-16
2026-01-14,AAPL,259.9599914550781,252.5,0.9713,0.23,0.298835,-0.090172,0.0911,16.6238,AAPL260116P00252500,2026-01-16
2026-01-14,ABNB,132.7899932861328,55.0,0.4142,0.06,5.625003,-0.010016,0.1091,19.9091,ABNB260116P00055000,2026-01-16
2026-01-14,ABNB,132.7899932861328,60.0,0.4518,0.01,3.625001,-0.000982,0.0167,3.0417,ABNB260116P00060000,2026-01-16
2026-01-14,ABNB,132.7899932861328,65.0,0.4895,0.01,3.562501,-0.002242,0.0154,2.8077,ABNB260116P00065000,2026-01-16
2026-01-14,ABNB,132.7899932861328,70.0,0.5271,0.02,2.750003,-0.000580,0.0286,5.2143,ABNB260116P00070000,2026-01-16
2026-01-14,ABNB,132.7899932861328,75.0,0.5648,0.01,2.890628,-0.002734,0.0133,2.4333,ABNB260116P00075000,2026-01-16
2026-01-14,ABNB,132.7899932861328,80.0,0.6025,0.03,2.593754,-0.003103,0.0375,6.8438,ABNB260116P00080000,2026-01-16
2026-01-14,ABNB,132.7899932861328,85.0,0.6401,0.01,1.968750,-0.000857,0.0118,2.1471,ABNB260116P00085000,2026-01-16
2026-01-14,ABNB,132.7899932861328,90.0,0.6778,0.01,2.078130,-0.004564,0.0111,2.0278,ABNB260116P00090000,2026-01-16
2026-01-14,ABNB,132.7899932861328,95.0,0.7154,0.01,1.945313,-0.008207,0.0105,1.9211,ABNB260116P00095000,2026-01-16
2026-01-14,ABNB,132.7899932861328,100.0,0.7531,0.01,1.562502,-0.006000,0.0100,1.8250,ABNB260116P00100000,2026-01-16
2026-01-14,ABNB,132.7899932861328,105.0,0.7907,0.01,1.218754,-0.004014,0.0095,1.7381,ABNB260116P00105000,2026-01-16
2026-01-14,ABNB,132.7899932861328,110.0,0.8284,0.01,1.140629,-0.011438,0.0091,1.6591,ABNB260116P00110000,2026-01-16
2026-01-14,ABNB,132.7899932861328,115.0,0.8660,0.01,1.064458,-0.030858,0.0087,1.5870,ABNB260116P00115000,2026-01-16
2026-01-14,ABNB,132.7899932861328,120.0,0.9037,0.03,0.712893,-0.025542,0.0250,4.5625,ABNB260116P00120000,2026-01-16
2026-01-14,ABNB,132.7899932861328,121.0,0.9112,0.05,0.718753,-0.037594,0.0413,7.5413,ABNB260116P00121000,2026-01-16
2026-01-14,ABNB,132.7899932861328,122.0,0.9187,0.06,0.589848,-0.024472,0.0492,8.9754,ABNB260116P00122000,2026-01-16
2026-01-14,ABNB,132.7899932861328,123.0,0.9263,0.01,0.542973,-0.026658,0.0081,1.4837,ABNB260116P00123000,2026-01-16
2026-01-14,ABNB,132.7899932861328,124.0,0.9338,0.08,0.642582,-0.070865,0.0645,11.7742,ABNB260116P00124000,2026-01-16
2026-01-14,ABNB,132.7899932861328,125.0,0.9413,0.02,0.517583,-0.054332,0.0160,2.9200,ABNB260116P00125000,2026-01-16
2026-01-14,ABNB,132.7899932861328,126.0,0.9489,0.17,0.573246,-0.103009,0.1349,24.6230,ABNB260116P00126000,2026-01-16
2026-01-14,ADBE,304.44000244140625,170.0,0.5584,1.81,3.492189,-0.008555,1.0647,194.3088,ADBE260116P00170000,2026-01-16
2026-01-14,ADBE,304.44000244140625,175.0,0.5748,1.86,4.835941,-0.042130,1.0629,193.9714,ADBE260116P00175000,2026-01-16
2026-01-14,ADBE,304.44000244140625,180.0,0.5912,0.02,2.281254,-0.000692,0.0111,2.0278,ADBE260116P00180000,2026-01-16
2026-01-14,ADBE,304.44000244140625,185.0,0.6077,0.07,4.423833,-0.045927,0.0378,6.9054,ADBE260116P00185000,2026-01-16
2026-01-14,ADBE,304.44000244140625,190.0,0.6241,0.01,4.225591,-0.048006,0.0053,0.9605,ADBE260116P00190000,2026-01-16
2026-01-14,ADBE,304.44000244140625,195.0,0.6405,0.01,2.382817,-0.004457,0.0051,0.9359,ADBE260116P00195000,2026-01-16
2026-01-14,ADBE,304.44000244140625,200.0,0.6569,0.01,1.906250,-0.001144,0.0050,0.9125,ADBE260116P00200000,2026-01-16
2026-01-14,ADBE,304.44000244140625,205.0,0.6734,0.01,1.750001,-0.000905,0.0049,0.8902,ADBE260116P00205000,2026-01-16
2026-01-14,ADBE,304.44000244140625,210.0,0.6898,0.02,1.656252,-0.000992,0.0095,1.7381,ADBE260116P00210000,2026-01-16
2026-01-14,ADBE,304.44000244140625,215.0,0.7062,0.01,2.101567,-0.010293,0.0047,0.8488,ADBE260116P00215000,2026-01-16
2026-01-14,ADBE,304.44000244140625,220.0,0.7226,0.01,1.375003,-0.000587,0.0045,0.8295,ADBE260116P00220000,2026-01-16
2026-01-14,ADBE,304.44000244140625,225.0,0.7391,0.01,1.281254,-0.000601,0.0044,0.8111,ADBE260116P00225000,2026-01-16
2026-01-14,ADBE,304.44000244140625,230.0,0.7555,0.01,2.182622,-0.034534,0.0043,0.7935,ADBE260116P00230000,2026-01-16
2026-01-14,ADBE,304.44000244140625,235.0,0.7719,0.01,1.125004,-0.000806,0.0043,0.7766,ADBE260116P00235000,2026-01-16
2026-01-14,ADBE,304.44000244140625,240.0,0.7883,0.01,1.164067,-0.002505,0.0042,0.7604,ADBE260116P00240000,2026-01-16
